   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.6101,             0.48835,             0.48808,             0.23503,            0.066423,            0.088176,             0.01731,             0.00807,             0.01063,             0.94859,              0.0005,              3.9942,                0.95,             0.10818,               0.047,             0.44953,              1.1064,             0.81426,              1.7758,                 0.2,              4.4013,                   0,             0.01138,             0.65094,              0.3577,                   0,             0.08995,             0.57637,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.1587
             0.69299,             0.50504,             0.53752,             0.28468,            0.069681,              0.1035,            0.016737,             0.00882,             0.01077,             0.88967,             0.00044,              3.4671,                0.95,             0.09889,             0.05202,             0.53043,              1.1773,             0.86592,                1.79,                 0.2,              3.9656,                   0,             0.01346,              0.5799,               0.299,                   0,             0.10217,             0.54191,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
             0.73107,             0.48825,             0.55134,               0.306,            0.067376,             0.10343,            0.017294,             0.00983,             0.01077,              0.9099,             0.00048,              3.6624,             0.92158,             0.09929,             0.05092,                 0.5,              1.2224,              0.8476,              1.8233,                 0.2,              3.9153,                   0,             0.01293,             0.61829,             0.34502,                   0,             0.10786,             0.54548,                   0,                   0,                   0,                 0.5,             0.92415,                   0,                   0,              3.2452
             0.58574,             0.48147,             0.49033,             0.22277,            0.067104,             0.11834,            0.020371,             0.01031,                0.01,             0.88268,             0.00041,              4.0001,             0.65186,             0.09889,             0.04697,             0.54445,              1.0316,              1.0879,              1.7601,                 0.2,              4.3741,                   0,             0.01314,             0.69979,             0.37706,                   0,             0.11743,             0.51496,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.3225
             0.60208,             0.58039,             0.55296,             0.29027,            0.057314,             0.10436,            0.013103,             0.00895,             0.01011,             0.93961,             0.00051,               3.879,                0.95,             0.09887,             0.04935,                 0.5,              1.1531,             0.87597,              1.8526,                 0.2,              3.4211,                   0,             0.01291,             0.64634,             0.34369,                   0,             0.10878,             0.55286,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6596
             0.59841,               0.523,             0.51089,             0.25269,            0.068372,            0.086146,            0.019631,             0.00909,             0.01132,             0.93618,              0.0005,               4.134,                0.95,             0.10137,             0.05102,             0.52741,              1.2158,             0.87597,              1.6235,                 0.2,              3.9656,                   0,             0.01327,             0.68304,             0.36018,                   0,             0.10581,             0.55127,                   0,                   0,                   0,                 0.5,             0.95456,                   0,                   0,              3.7757
             0.67963,             0.52325,             0.54644,             0.29135,            0.064374,            0.095954,            0.013309,             0.00879,                0.01,             0.92083,             0.00045,              4.1311,                0.95,             0.10718,             0.05174,             0.49941,                1.02,             0.84437,               1.762,                 0.2,              3.5619,                   0,             0.01451,             0.73251,              0.3577,                   0,             0.06525,             0.60117,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7244
             0.51925,             0.46543,              0.4371,             0.18916,            0.074973,            0.082521,            0.025432,             0.01026,             0.01118,             0.92036,             0.00052,              3.0146,             0.70198,             0.09027,             0.04753,             0.59074,              1.1531,             0.78528,              1.7734,                 0.2,              5.3164,                   0,             0.01278,             0.51098,             0.33076,                   0,             0.14402,             0.58368,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.9248
             0.59465,             0.47964,             0.47895,             0.22134,            0.071784,              0.0913,            0.019121,              0.0094,             0.01033,             0.92144,             0.00052,              3.8739,             0.94385,             0.09909,             0.05099,             0.50434,              1.1438,             0.87515,              1.7734,                 0.2,              3.9005,                   0,             0.01345,             0.65188,             0.35716,                   0,             0.10786,             0.55006,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5046
             0.72095,             0.50963,             0.53964,             0.28757,            0.067421,             0.14181,            0.016632,             0.00795,             0.01556,             0.92083,             0.00064,              2.9512,                0.95,             0.09407,             0.04839,             0.53061,              1.1031,              1.0118,                   2,                 0.2,              5.0817,                   0,             0.01494,             0.65094,             0.37893,                   0,             0.14003,             0.56122,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3958
