               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   7,            0.037124,            0.075206,           0.0057541,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028961,           0.0028961,           0.0077326
                   8,            0.033003,            0.072446,           0.0050168,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020654,           0.0020654,           0.0020654
                   9,            0.030854,            0.073089,           0.0049684,             0.66996,             0.49818,              0.5302,             0.28407,            0.069145,            0.075639,             0.01303,           0.0020654,           0.0020654,           0.0020654
                   0,             0.11899,            0.085776,            0.017399,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011572,           0.0011572,            0.087309
                   1,             0.10656,            0.061487,            0.011479,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021801,           0.0021801,            0.076716
                   2,            0.088958,            0.059335,           0.0087047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002953,            0.002953,            0.065873
                   3,            0.071929,            0.062496,           0.0079069,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034759,           0.0034759,             0.05478
                   4,            0.050424,            0.066411,           0.0072528,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037489,           0.0037489,            0.043437
                   5,            0.043794,             0.06772,           0.0065679,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037719,           0.0037719,            0.031844
                   6,            0.037068,            0.066704,           0.0057983,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003545,            0.003545,            0.020001
                   7,            0.034695,            0.067021,            0.005994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030682,           0.0030682,           0.0079082
                   8,            0.031589,            0.066705,           0.0055082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021882,           0.0021882,           0.0021882
                   9,            0.029514,            0.065168,           0.0058176,             0.65656,             0.53612,             0.55031,             0.29125,            0.066952,            0.068642,            0.013578,           0.0021882,           0.0021882,           0.0021882
                   0,            0.077627,            0.071387,            0.027816,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011572,           0.0011572,            0.087309
                   1,            0.059731,            0.083936,            0.024916,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021801,           0.0021801,            0.076716
                   2,            0.044058,            0.082233,            0.020399,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002953,            0.002953,            0.065873
                   3,            0.039375,             0.06993,            0.016148,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034759,           0.0034759,             0.05478
                   4,            0.038253,            0.060057,            0.012488,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037489,           0.0037489,            0.043437
                   5,            0.046976,            0.052692,            0.009898,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037719,           0.0037719,            0.031844
                   6,            0.041852,            0.054071,           0.0089394,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003545,            0.003545,            0.020001
                   7,            0.038203,            0.052152,           0.0082835,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030682,           0.0030682,           0.0079082
                   8,            0.032522,            0.051681,           0.0074986,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021882,           0.0021882,           0.0021882
                   9,             0.03047,             0.04851,           0.0068647,              0.6164,              0.5088,             0.52299,             0.24768,            0.053688,            0.045975,             0.01642,           0.0021882,           0.0021882,           0.0021882
                   0,             0.10955,            0.088526,            0.015237,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010692,           0.0010692,            0.097323
                   1,             0.09729,            0.062257,           0.0098909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020149,           0.0020149,             0.08529
                   2,            0.081534,            0.059627,           0.0078748,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027304,           0.0027304,            0.073028
                   3,            0.065442,            0.066303,           0.0074149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032157,           0.0032157,            0.060535
                   4,             0.04675,            0.069663,           0.0068923,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034707,           0.0034707,            0.047812
                   5,            0.038821,            0.071082,           0.0058814,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034954,           0.0034954,            0.034859
                   6,            0.033534,            0.068134,           0.0053402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032899,           0.0032899,            0.021675
                   7,            0.031456,            0.071166,           0.0049469,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028541,           0.0028541,           0.0082616
                   8,            0.029487,            0.069418,           0.0048557,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020449,           0.0020449,           0.0020449
                   9,            0.027065,            0.068529,           0.0050712,             0.64499,             0.53106,              0.5501,             0.29803,            0.057756,            0.072932,            0.011818,           0.0020449,           0.0020449,           0.0020449
                   0,              0.1159,            0.086907,           0.0096949,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012364,           0.0012364,            0.089569
                   1,             0.10026,            0.064003,           0.0064358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023293,           0.0023293,            0.078752
                   2,            0.080093,            0.064994,            0.005681,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0031551,           0.0031551,            0.067668
                   3,            0.060319,            0.071122,           0.0054552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037138,           0.0037138,            0.056316
                   4,            0.042591,            0.074271,           0.0046232,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040055,           0.0040055,            0.044698
                   5,            0.040292,            0.074114,            0.004058,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040301,           0.0040301,            0.032813
                   6,             0.03698,            0.071024,           0.0034494,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037877,           0.0037877,             0.02066
                   7,            0.032815,            0.069997,           0.0035327,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032782,           0.0032782,           0.0082407
                   8,            0.029734,            0.069539,           0.0033925,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002338,            0.002338,            0.002338
                   9,             0.02801,            0.068362,           0.0031392,             0.66204,             0.52784,             0.55055,             0.29145,            0.062397,            0.073761,           0.0070066,            0.002338,            0.002338,            0.002338
                   0,            0.096838,             0.11755,            0.014475,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013112,           0.0013112,             0.10591
                   1,            0.066117,             0.13532,            0.013268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024702,           0.0024702,            0.092968
                   2,            0.052859,             0.11507,            0.011685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033459,           0.0033459,             0.07974
                   3,            0.055176,            0.097061,            0.010183,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039385,           0.0039385,            0.066229
                   4,            0.057597,            0.084731,           0.0090727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042478,           0.0042478,            0.052435
                   5,            0.069403,            0.082536,           0.0089427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042739,           0.0042739,            0.038358
                   6,            0.055883,            0.081623,            0.008386,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0040168,           0.0040168,            0.023997
                   7,            0.051432,              0.0808,           0.0079252,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034765,           0.0034765,            0.009353
                   8,             0.04358,            0.078002,           0.0073578,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024794,           0.0024794,           0.0024794
                   9,            0.044661,            0.075976,           0.0069949,             0.68536,             0.49083,             0.52261,             0.25764,            0.070024,            0.075061,           0.0094263,           0.0024794,           0.0024794,           0.0024794
                   0,             0.10649,            0.065391,            0.010336,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012749,           0.0012749,             0.09598
                   1,            0.095178,            0.044177,           0.0067172,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024018,           0.0024018,            0.084337
                   2,            0.080363,            0.042693,           0.0056455,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032533,           0.0032533,             0.07242
